{'Position': 'P6', 'Docked': True, 'Holding': False, 'Battery': 'L3', 'Error': 'None'}
{'Position': 'P6', 'Docked': True, 'Holding': False, 'Battery': 'L3', 'Error': 'None'}
{'Position': 'P1', 'Docked': False, 'Holding': False, 'Battery': 'L3', 'Error': 'None'}
{'Position': 'P1', 'Docked': False, 'Holding': False, 'Battery': 'L3', 'Error': 'None'}
{'Position': 'P1', 'Docked': False, 'Holding': False, 'Battery': 'L3', 'Error': 'None'}
{'Position': 'P1', 'Docked': False, 'Holding': False, 'Battery': 'L3', 'Error': 'None'}
{'Position': 'P1', 'Docked': False, 'Holding': False, 'Battery': 'L3', 'Error': 'None'}
{'Position': 'P3', 'Docked': True, 'Holding': False, 'Battery': 'L3', 'Error': 'None'}
{'Position': 'P3', 'Docked': True, 'Holding': True, 'Battery': 'L3', 'Error': 'None'}
{'Position': 'P3', 'Docked': True, 'Holding': True, 'Battery': 'L3', 'Error': 'None'}
{'Position': 'P1', 'Docked': False, 'Holding': False, 'Battery': 'L3', 'Error': 'None'}
{'Position': 'P1', 'Docked': False, 'Holding': False, 'Battery': 'L3', 'Error': 'None'}
{'Position': 'P1', 'Docked': False, 'Holding': False, 'Battery': 'L3', 'Error': 'None'}
{'Position': 'P2', 'Docked': True, 'Holding': True, 'Battery': 'L3', 'Error': 'None'}
{'Position': 'P2', 'Docked': True, 'Holding': False, 'Battery': 'L3', 'Error': 'None'}
{'Position': 'P2', 'Docked': True, 'Holding': False, 'Battery': 'L3', 'Error': 'None'}
{'Position': 'P1', 'Docked': False, 'Holding': False, 'Battery': 'L3', 'Error': 'None'}
{'Position': 'P1', 'Docked': False, 'Holding': False, 'Battery': 'L3', 'Error': 'None'}
{'Position': 'P5', 'Docked': False, 'Holding': False, 'Battery': 'L3', 'Error': 'None'}
{'Position': 'P1', 'Docked': False, 'Holding': False, 'Battery': 'L3', 'Error': 'None'}
{'Position': 'P1', 'Docked': False, 'Holding': False, 'Battery': 'L3', 'Error': 'None'}
{'Position': 'P6', 'Docked': True, 'Holding': False, 'Battery': 'L3', 'Error': 'None'}
{'Position': 'P6', 'Docked': True, 'Holding': False, 'Battery': 'L3', 'Error': 'None'}
{'Position': 'P6', 'Docked': True, 'Holding': False, 'Battery': 'L3', 'Error': 'None'}
{'Position': 'P6', 'Docked': True, 'Holding': False, 'Battery': 'L3', 'Error': 'None'}
{'Position': 'P6', 'Docked': True, 'Holding': False, 'Battery': 'L3', 'Error': 'None'}
{'Position': 'P6', 'Docked': True, 'Holding': False, 'Battery': 'L3', 'Error': 'None'}
{'Position': 'P6', 'Docked': True, 'Holding': False, 'Battery': 'L3', 'Error': 'None'}
{'Position': 'P6', 'Docked': True, 'Holding': False, 'Battery': 'L3', 'Error': 'None'}
{'Position': 'P6', 'Docked': True, 'Holding': False, 'Battery': 'L3', 'Error': 'None'}
{'Position': 'P6', 'Docked': True, 'Holding': False, 'Battery': 'L3', 'Error': 'None'}
{'Position': 'P6', 'Docked': True, 'Holding': False, 'Battery': 'L3', 'Error': 'None'}
{'Position': 'P6', 'Docked': True, 'Holding': False, 'Battery': 'L3', 'Error': 'None'}
{'Position': 'P6', 'Docked': True, 'Holding': False, 'Battery': 'L3', 'Error': 'None'}
{'Position': 'P6', 'Docked': True, 'Holding': False, 'Battery': 'L3', 'Error': 'None'}
{'Position': 'P6', 'Docked': True, 'Holding': False, 'Battery': 'L3', 'Error': 'None'}
{'Position': 'P1', 'Docked': False, 'Holding': False, 'Battery': 'L3', 'Error': 'None'}
{'Position': 'P1', 'Docked': False, 'Holding': False, 'Battery': 'L3', 'Error': 'None'}
{'Position': 'P1', 'Docked': False, 'Holding': False, 'Battery': 'L3', 'Error': 'None'}
{'Position': 'P3', 'Docked': True, 'Holding': False, 'Battery': 'L3', 'Error': 'None'}
{'Position': 'P3', 'Docked': True, 'Holding': False, 'Battery': 'L3', 'Error': 'None'}
{'Position': 'P3', 'Docked': True, 'Holding': True, 'Battery': 'L3', 'Error': 'None'}
{'Position': 'P3', 'Docked': True, 'Holding': True, 'Battery': 'L3', 'Error': 'None'}
{'Position': 'P1', 'Docked': False, 'Holding': True, 'Battery': 'L3', 'Error': 'None'}
{'Position': 'P1', 'Docked': False, 'Holding': False, 'Battery': 'L3', 'Error': 'None'}
{'Position': 'P1', 'Docked': False, 'Holding': False, 'Battery': 'L3', 'Error': 'None'}
{'Position': 'P1', 'Docked': False, 'Holding': False, 'Battery': 'L3', 'Error': 'None'}
{'Position': 'P2', 'Docked': True, 'Holding': True, 'Battery': 'L3', 'Error': 'None'}
{'Position': 'P2', 'Docked': True, 'Holding': False, 'Battery': 'L3', 'Error': 'None'}
{'Position': 'P1', 'Docked': False, 'Holding': False, 'Battery': 'L3', 'Error': 'None'}
{'Position': 'P1', 'Docked': False, 'Holding': False, 'Battery': 'L3', 'Error': 'None'}
{'Position': 'P1', 'Docked': False, 'Holding': False, 'Battery': 'L3', 'Error': 'None'}
{'Position': 'P1', 'Docked': False, 'Holding': False, 'Battery': 'L3', 'Error': 'None'}
{'Position': 'P1', 'Docked': False, 'Holding': False, 'Battery': 'L3', 'Error': 'None'}
{'Position': 'P5', 'Docked': False, 'Holding': False, 'Battery': 'L3', 'Error': 'None'}
{'Position': 'P1', 'Docked': False, 'Holding': False, 'Battery': 'L3', 'Error': 'None'}
{'Position': 'P1', 'Docked': False, 'Holding': False, 'Battery': 'L3', 'Error': 'None'}
